0,1,2,3,4,5,6,7,8,9,10
ID,Isophotal1,mF336W,S/N,mF435W,S/N,2 mF435W,mF606W,S/N,mF814W,S/N
-,(pix) Area,-,(F336W),-,(F435W),(HSC match),-,(F606W),-,(F814W)
zf 9775,391,27.68 0.11,9.1,27.25 0.18,5.7,27.39 0.18,25.29 0.04,23.4,24.15 0.05,18.3
zf 11754,323,-,-,28.65 0.31,3.4,28.14 0.31,-,-,24.92 0.09,11.0
zf 14000,126,27.52 0.06,16.6,-,-,-,25.41 0.04,26.1,24.92 0.05,21.1
zf 11423,196,28.29 0.15,6.9,-,-,-,27.17 0.25,4.2,25.75 0.11,9.1
zf 12283,204,27.95 0.12,8.9,-,-,-,26.70 0.12,8.8,26.29 0.22,4.7
zf 8333,193,29.07 0.31,3.4,27.74 0.21,5.1,27.70 0.21,27.09 0.20,5.2,26.60 0.41,2.5
zf 8461,156,27.90 0.09,11.2,27.26 0.12,8.7,27.40 0.12,26.65 0.11,9.7,26.73 0.37,2.8
zf 13836,106,28.23 0.11,9.4,-,-,-,27.15 0.17,6.2,26.75 0.20,5.2
zf 14198,128,28.10 0.10,9.9,-,-,-,27.48 0.26,4.1,26.90 0.29,3.7
zf 13312,112,28.92 0.22,4.9,-,-,-,27.60 0.27,3.9,27.41 0.41,2.5
zf 6745,80,28.36 0.10,10.3,28.06 0.20,5.3,27.88 0.20,28.16 0.39,2.7,27.51 0.60,1.8
zf 14060,74,28.61 0.13,7.8,-,-,-,28.35 0.48,2.2,27.52 0.38,2.8
zf 13676,96,28.50 0.17,6.1,-,-,-,-,-,27.57 0.31,3.4
cs 658350,127,27.76 0.08,13.2,-,-,-,27.51 0.39,2.7,27.29 0.39,2.7
cs 621227,111,29.53 0.34,3.1,27.97 0.23,4.6,27.83 0.23,28.37 0.44,2.4,27.72 0.86,1.2
cs 626018,57,29.62 0.28,3.7,29.33 0.56,1.9,28.34 0.56,29.39 0.82,1.3,27.99 0.72,1.4
cs 667332,61,-,-,29.23 0.25,4.2,28.32 0.25,-,-,28.01 0.73,1.4
cs 621890,119,28.20 0.11,9.1,28.15 0.27,3.9,27.92 0.27,28.23 0.51,2.1,28.21 1.36,0.7
cs 681305,44,-,-,29.20 0.21,5.1,28.31 0.21,-,-,28.32 0.82,1.3
zf 8009,191,27.52 0.07,14.0,27.16 0.12,8.5,27.33 0.12,27.11 0.18,5.8,26.26 0.28,3.8
zf 9669,170,28.19 0.12,8.7,27.71 0.18,5.7,27.69 0.18,26.90 0.13,8.0,26.27 0.26,4.1
zf 12022,159,27.76 0.08,12.2,-,-,-,27.07 0.15,7.0,26.36 0.19,5.6
zf 14044,154,28.39 0.15,7.1,-,-,-,27.24 0.23,4.6,26.49 0.21,4.9
cs 671985,108,28.32 0.11,9.0,-,-,-,27.22 0.19,5.5,26.95 0.29,3.6
zf 9963,159,28.44 0.15,6.9,-,-,-,27.21 0.18,5.7,26.98 0.51,2.0
cs 643060,143,27.76 0.08,13.4,27.28 0.12,8.9,27.42 0.12,27.24 0.15,7.0,27.07 0.40,2.6
cs 723862,106,-,-,27.39 0.07,13.6,27.49 0.07,27.39 0.25,4.2,27.19 0.32,3.3
zf 12042,72,28.39 0.10,9.9,-,-,-,28.65 0.80,1.3,27.27 0.27,3.8
zf 8356,152,28.28 0.17,6.1,27.13 0.10,10.3,27.31 0.10,27.39 0.25,4.2,27.35 0.72,1.5
zf 10407,100,27.47 0.05,19.2,-,-,-,27.13 0.16,6.4,27.54 0.43,2.5
zf 13775,54,-,-,29.50 0.28,3.7,28.38 0.28,28.85 1.27,0.8,27.74 0.53,2.0
zf 5935,145,28.32 0.22,4.7,27.27 0.13,8.1,27.41 0.13,27.75 0.32,3.3,28.06 1.25,0.8
zf 13099,40,29.01 0.17,6.3,-,-,-,28.55 0.40,2.7,28.16 0.55,1.9
zf 6857,123,28.44 0.16,6.4,27.66 0.18,5.7,27.66 0.18,27.31 0.21,4.9,28.50 2.03,0.5
cs 611354,109,-,-,27.15 0.09,11.0,27.32 0.09,27.39 0.21,5.0,29.20 3.14,0.3
